素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,daily_aligned_cpa_saving,daily_aligned_cpi_saving,explain_share_of_net_saving,old_same_theme_best_package,old_same_theme_spend,old_same_theme_subs,old_same_theme_cpa,old_same_theme_cpi,old_same_theme_sub_rate,same_theme_cpa_gap_old_minus_new,same_theme_amount_at_new_subs
老选题,英语,黑白马场写真+单人女+竞,创意搜集ZXL,创意提需ZXL,模板制作FDJ,素材制作FDJ,20260320,2651.05,15416.0,903.0,1688.05,10,2.935825027685493,0.17196743642968346,0.05857550596782564,0.6367477037400274,138.49973954970716,-416.3984099047959,-0.2366963329543737,,,,,,,,
老选题,英语,一家三口的合影壁纸形变+高种姓家庭+竞,创意搜集ZXL,创意提需ZXL,模板制作CF,素材制作FDJ,20260325,337.85,1438.0,132.0,295.20000000000005,3,2.559469696969697,0.23494436717663422,0.0917941585535466,0.8737605446203938,65.85305108715994,-160.4361073385023,-0.11254299652017466,,,,,,,,
新选题,英语,水面唯美写真+高种姓女生模特+原,创意搜集QCH,创意提需QCH,模板制作ZN,素材制作ZN,20260319,52.22,485.0,30.0,91.03,7,1.7406666666666666,0.1076701030927835,0.061855670103092786,1.7432018383761012,39.80233151556445,18.286528111382047,-0.06802226447066502,,,,,,,,
老选题,印地语,情侣拍立得+青少年模特+竞,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作FDJ,20260401,179.09,692.0,67.0,142.41,8,2.6729850746268657,0.2588005780346821,0.0968208092485549,0.7951867775978558,31.422070507560917,-80.76163918171476,-0.05370038158305815,,,,,,,,
老选题,英语,雨夜分手+日常服饰女模特+原,创意搜集LXQ,创意提需ZXL,模板制作FDJ,素材制作FDJ,20260408,372.0,1309.0,129.0,247.70999999999998,3,2.883720930232558,0.28418640183346067,0.0985485103132162,0.6658870967741934,21.743625745004664,-210.43057678730065,-0.03715990005257593,,,,,,,,
新选题,印地语,电梯纱丽+女+原,创意搜集ZJX,创意提需ZJX,模板制作WXX,素材制作JYY,20260402,52.51,179.0,26.0,71.82,8,2.0196153846153844,0.29335195530726255,0.1452513966480447,1.3677394781946295,18.950131863245094,-27.918696101649676,-0.03238581340019156,CoupleLens,309.32,111.0,2.7866666666666666,0.33805464480874314,0.12131147540983607,0.7670512820512823,19.94333333333334
新选题,印地语,情侣购物狂+情侣+原,创意搜集QCH,创意提需QCH,模板制作LQX,素材制作LQX,20260326,477.12,1029.0,160.0,291.9,11,2.982,0.4636734693877551,0.1554907677356657,0.6117957746478873,9.338690814065854,-329.09357077272,-0.01595984135039304,,,,,,,,
老选题,英语,情侣拥抱淋雨+下沉市场模特+竞,创意搜集ZXL,创意提需TXH,模板制作FDJ,素材制作WXX,20260407,12.91,35.0,6.0,15.8,7,2.151666666666667,0.3688571428571429,0.17142857142857143,1.2238574748257165,6.840161816305466,-7.70223756452916,-0.01168985027696,,,,,,,,
老选题,英语,情侣拥抱淋雨+中老年模特+竞,创意搜集ZXL,创意提需TXH,模板制作FDJ,素材制作WXX,20260407,9.8,25.0,5.0,14.100000000000001,8,1.9600000000000002,0.392,0.2,1.4387755102040816,6.234947419270928,-6.0944453255094775,-0.010655537657347782,CoupleLens,160.43,47.0,3.4134042553191493,0.3847242206235012,0.11270983213429256,1.453404255319149,7.267021276595745
老选题,英语,划线变装+礼服裙子+竞,创意搜集TXH,创意提需ZXL,模板制作FDJ,素材制作WXR,20260407,3.83,10.0,2.0,5.73,4,1.915,0.383,0.2,1.4960835509138382,2.83392156862745,-2.347778130203791,-0.004843177650407662,,,,,,,,
