素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,daily_aligned_cpa_saving,daily_aligned_cpi_saving,explain_share_of_net_saving,old_same_theme_best_package,old_same_theme_spend,old_same_theme_subs,old_same_theme_cpa,old_same_theme_cpi,old_same_theme_sub_rate,same_theme_cpa_gap_old_minus_new,same_theme_amount_at_new_subs
老选题,英语,大人抖腿舞+新模版+竞,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作FDJ,20260311,36937.7,352772.0,21259.0,64579.07,15,1.7375088197939694,0.10470700622498383,0.06026271926343361,1.7483240699881153,10133.130823123181,11445.180316547732,0.5878991813617093,,,,,,,,
新选题,英语,恶魔夫妇+测试+竞,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作ZZS,20260311,13856.64,90109.0,7107.0,20118.68,15,1.949717180244829,0.15377642632811372,0.07887114494667569,1.4519161932474252,1944.351004353529,-1611.6113111387683,0.11280643501915649,,,,,,,,
老选题,英语,大人抖腿舞-3.09迭对比模板+成年女性,创意搜集TXH,创意提需ZXL,模板制作ZN,素材制作FDJ,20260309,5709.610000000001,40406.0,3082.0,9016.57,18,1.852566515249838,0.1413059941592833,0.07627580062366975,1.5791919237916423,1389.7698141906335,97.46497385475558,0.08063100637953305,,,,,,,,
新选题,英语,宝莱坞双重特效+多动作3.09宝莱坞双重特效测试,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作ZZS,20260309,11737.95,103030.0,5738.0,15706.57,17,2.0456517950505404,0.11392749684557897,0.055692516742696305,1.3381016276266298,1270.8684494463569,2751.011568509478,0.07373264335470778,,,,,,,,
老选题,英语,大人抖腿舞-3.09迭对比模板+老年白发男性,创意搜集TXH,创意提需ZXL,模板制作ZN,素材制作FDJ,20260309,1314.34,10740.0,821.0,2603.31,16,1.6009013398294762,0.1223780260707635,0.07644320297951583,1.980697536406105,744.3277041120549,261.1679132374262,0.043184051953002026,,,,,,,,
老选题,英语,情侣玫瑰写真+高种姓模特+竞,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作FDJ,20260313,6753.9800000000005,54311.0,3325.0,9148.119999999999,11,2.031272180451128,0.12435749663972309,0.06122148367733977,1.3544783964418015,723.9483623849401,432.8838929403439,0.04200169296374261,,,,,,,,
老选题,英语,双重构图在雨中+下沉市场模特+竞,创意搜集TXH,创意提需人TXH,模板制作ZXL,素材制作FDJ,20260316,5169.21,39179.0,2532.0,6940.95,9,2.0415521327014217,0.13193828326399346,0.06462645805150719,1.3427486985438781,460.25636708736454,-19.97205746427599,0.026702935760951504,Minimix,5603.99,2690.0,2.083267657992565,0.15957145704604345,0.07659671402944275,0.04171552529114342,105.62371003717513
新选题,英语,竞品复刻+走在雪山下（仅限女生）3.09测试,创意搜集TXH,创意提需TXH,模板制作ZXL,素材制作ZZS,20260309,3566.93,21613.0,1737.0,4741.37,17,2.053500287852619,0.16503632073289223,0.08036829685837228,1.3292579332927756,411.0803714289291,-537.0230897227054,0.0238498661524679,,,,,,,,
新选题,英语,竞品选题+一家三口的合影+测试,创意搜集ZXL,创意提需ZXL,模板制作CF,素材制作WXR,20260310,1749.27,10345.0,889.0,2501.02,16,1.9676827896512936,0.16909328177863703,0.08593523441275978,1.4297506960046191,253.1620329627018,-201.929515887759,0.01468783483886431,,,,,,,,
老选题,英语,大人抖腿舞-3.09迭对比模板+baby,创意搜集TXH,创意提需ZXL,模板制作ZN,素材制作FDJ,20260309,356.78999999999996,2805.0,212.0,655.27,12,1.6829716981132075,0.12719786096256683,0.07557932263814617,1.8365705316853052,180.5798905777111,41.642727528141286,0.010476798503258881,,,,,,,,
新选题,英语,跑车彩绘墙侧面+单人男女+竞,创意搜集ZXL,创意提需ZXL,模板制作FDJ,素材制作FDJ,20260312,5970.75,46137.0,2744.0,7162.58,14,2.1759293002915454,0.12941348592236165,0.05947504172356243,1.1996114390989407,115.1789542040926,360.97331106467766,0.00668239797439164,,,,,,,,
新选题,印地语,变形母婴黑白滤镜壁纸+母婴+竞,创意搜集ZXL,创意提需ZJX,模板制作ZN,素材制作ZN,20260324,422.53,2749.0,211.0,586.44,2,2.002511848341232,0.15370316478719534,0.07675518370316478,1.387925117743119,90.51024572037299,-49.61570871907061,0.005251180537650854,,,,,,,,
新选题,英语,竞品复刻+大雨淋湿的人物半脸黑白写真,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作WXR,20260309,391.13,1913.0,195.0,541.36,11,2.0057948717948717,0.20445896497647673,0.10193413486670151,1.3840922455449596,85.74757045128894,-114.48021055116718,0.004974861901223423,,,,,,,,
老选题,英语,黑白家庭三口合影+高种姓家庭+竞,创意搜集ZXL,创意提需TXH,模板制作CF,素材制作FDJ,20260317,1066.02,6634.0,500.0,1326.53,9,2.13204,0.16069038287609286,0.0753693096171239,1.2443762781186094,84.64143612607032,-180.49554411584654,0.004910686724210196,,,,,,,,
老选题,英语,大人抖腿舞+中老年白发女模特+竞,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作WXR,20260318,1455.8600000000001,9534.0,679.0,1793.43,8,2.1441237113402063,0.1527019089574156,0.07121879588839941,1.231869822647782,73.13126658832866,-206.31640782801304,0.004242895163369854,,,,,,,,
