group,new_package,old_pool,date,new_spend,old_pool_spend,new_cpa,old_pool_cpa,daily_saving_by_cpa,new_cpi,old_pool_cpi,new_sub_rate,old_pool_sub_rate,new_gross_after_roi,old_pool_gross_after_roi,lead_days,lead_rmape,lead_overlap_days,cpa_advantage_days,cpa_advantage_until_day,cpa_avg_advantage,cpi_advantage_days,cpi_advantage_until_day,cpi_avg_advantage,cost_lead_days,lead_period_saving,lead_period_new_gross,lead_period_new_spend,lead_period_new_roi,new_installs,old_pool_installs,new_subs,old_pool_subs,new_gross_after,old_pool_gross_after
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-18,0.0,23735.2,,2.5508006448146157,,,0.14508866624692068,,0.05687965719385541,,0.8821564596043008,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,0.0,163591.0,0.0,9305.0,0.0,20938.16
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-19,141.28,29788.97,6.142608695652174,2.611235098176718,-81.2215927419355,0.10289876183539694,0.13884459960195575,0.016751638747268753,0.053172002666057636,-0.2046291053227633,0.8399390781218685,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,1373.0,214549.0,23.0,11408.0,-28.909999999999997,25020.92
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-20,753.12,31515.48,2.0029787234042553,2.700555269922879,262.28878149100257,0.11440376727935592,0.14569253172456834,0.05711681604131855,0.053949102004021914,1.4114483747609943,0.7792408682971035,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,6583.0,216315.0,376.0,11670.0,1062.99,24558.149999999998
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-21,1639.02,33830.52,2.0462172284644193,2.830532128514056,628.236234939759,0.12758991125642224,0.14887900191431777,0.062354040168145726,0.05259753119017757,1.3661822308452614,0.6985426177309719,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,12846.0,227235.0,801.0,11952.0,2239.2000000000003,23632.059999999998
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-22,2729.32,34424.869999999995,2.4004573438874233,2.8982042431385753,565.9382244485598,0.1280529229614338,0.15346732705047386,0.05334521910481374,0.05295255757554143,1.0109111427022115,0.6589613846036311,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,21314.0,224314.0,1137.0,11878.0,2759.1,22684.66
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-23,3244.14,31942.41,2.3440317919075144,2.957082947602296,848.4627994815776,0.14575163985982567,0.15420016509855225,0.062179890376493845,0.052146039807095375,1.044615830389564,0.6256919875488418,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,22258.0,207149.0,1384.0,10802.0,3388.88,19986.11
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-24,4087.79,36711.55,2.608672622846203,3.1190781648258286,799.8054842820734,0.1900148747269093,0.1774593591237136,0.07283967833403059,0.05689480985918897,0.8417604622546657,0.5426679069666086,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,21513.0,206873.0,1567.0,11770.0,3440.94,19922.18
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-25,5302.67,34233.79,2.751774779449922,3.278470599502011,1014.9428452403756,0.17404063279506368,0.17331633944573263,0.06324668504660627,0.05286499731675459,0.7467219344217159,0.4717429767489956,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,30468.0,197522.0,1927.0,10442.0,3959.62,16149.55
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-26,5133.99,31169.809999999998,2.672561166059344,3.0839823884436526,790.3401682002567,0.16658522340114865,0.1675480957884269,0.062331678510010056,0.05432848657510683,0.7974927882602031,0.5612847816525028,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,30819.0,186035.0,1921.0,10107.0,4094.32,17495.14
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-27,5854.24,31500.739999999998,2.8213204819277107,3.107194712961136,593.1890293943578,0.17696148963182395,0.17369177326863697,0.06272293089897829,0.05589986766651963,0.7080543332695619,0.55025024808941,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,33082.0,181360.0,2075.0,10138.0,4145.12,17333.29
