素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,daily_aligned_cpa_saving,daily_aligned_cpi_saving,explain_share_of_net_saving,old_same_theme_best_package,old_same_theme_spend,old_same_theme_subs,old_same_theme_cpa,old_same_theme_cpi,old_same_theme_sub_rate,same_theme_cpa_gap_old_minus_new,same_theme_amount_at_new_subs
新选题,英语,双重构图在雨中+情侣+竞,创意搜集TXH,创意提需TXH,模板制作ZXL,素材制作WXR,20260311,11911.19,85918.0,6699.0,20084.92,7,1.778054933572175,0.13863439558648946,0.07796969203193743,1.6862227871438535,3032.1957839274282,961.7412000797059,0.930636432856313,,,,,,,,
新选题,英语,黑白马场写真+单人女+竞,创意搜集ZXL,创意提需ZXL,模板制作FDJ,素材制作FDJ,20260317,322.52000000000004,2562.0,243.0,835.37,2,1.3272427983539097,0.12588602654176426,0.09484777517564402,2.590133945181694,205.71348375159056,13.854100779623302,0.06313723662693653,,,,,,,,
老选题,英语,大人抖腿舞+对比模版+肥胖男模特,创意搜集TXH,创意提需TXH,模板制作ZN,素材制作FDJ,20260310,125.77,675.0,79.0,251.18,7,1.5920253164556961,0.18632592592592592,0.11703703703703704,1.997137632185736,46.110382230626364,-29.6832837928246,0.014152121002282315,,,,,,,,
新选题,英语,情侣极光下赏月+通用+竞,创意搜集TXH,创意提需人TXH,模板制作WXR,素材制作WXR,20260317,289.31,1238.0,152.0,437.15999999999997,2,1.9033552631578947,0.2336914378029079,0.12277867528271405,1.511043517334347,45.14137475490428,-122.24574578579316,0.013854714856743434,,,,,,,,
老选题,英语,双重构图单人土墙墙绘+成年男模特日常服饰+竞,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作ZN,20260313,789.64,4002.0,359.0,928.81,4,2.1995543175487464,0.1973113443278361,0.08970514742628685,1.1762448710804922,14.225518848109246,-216.5860589468814,0.004366072331644496,,,,,,,,
新选题,英语,恶魔夫妇对视+情侣+原,创意搜集LXQ,创意提需LXQ,模板制作ZN,素材制作LQX,20260317,94.56,337.0,49.0,139.67000000000002,2,1.929795918367347,0.28059347181008903,0.14540059347181009,1.4770516074450086,13.156717695880879,-48.590428803393706,0.004038037678666319,,,,,,,,
老选题,英语,跑车彩绘墙侧面+成年女模特+竞,创意搜集ZXL,创意提需ZXL,模板制作FDJ,素材制作FDJ,20260318,34.89,210.0,21.0,65.35,1,1.6614285714285715,0.16614285714285715,0.1,1.873029521352823,10.551627906976734,-7.600893353182215,0.0032384878998337713,,,,,,,,
老选题,英语,竞品复刻+宝宝跳同款舞蹈+传统服饰女baby,创意搜集ZXL,创意提需ZXL,模板制作ZXL,素材制作ZXL,20260310,0.0,1.0,4.0,18.92,7,0.0,0.0,4.0,,8.864153307925246,0.1421440093595448,0.0027205710325519258,,,,,,,,
老选题,英语,竞品复刻+老照片修复3.09迭代+老兵版,创意搜集ZXL,创意提需TXH,模板制作ZXL,素材制作ZN,20260309,64.29,209.0,32.0,88.72,7,2.0090625,0.3076076555023924,0.15311004784688995,1.3799968890962824,5.491870385666143,-34.49665404936689,0.0016855556268882035,,,,,,,,
新选题,英语,坐在泳池边+女单+原,创意搜集QCH,创意提需QCH,模板制作CF,素材制作ZZS,20260311,0.0,4.0,2.0,9.46,7,0.0,0.0,0.5,,4.1638573551263,0.5806235104160394,0.0012779640999560225,,,,,,,,
