package,素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,cpa_pull,cpi_pull,group,period
CoupleLens,新选题,印地语,灵魂伴侣+通用+竞,创意搜集WYX,创意提需WYX,模板制作LQX,素材制作WXX,20260515,35112.01,261336.0,13406.0,29200.32,18,2.619126510517679,0.13435581014479445,0.05129794593932715,0.8316333926767507,6073.872753494407,9240.104661067251,Zikzik,2026-05-20~2026-06-07
CoupleLens,老选题,英语,情侣传统服饰合影+青少年情侣模特+竞,创意搜集ZXL,创意提需ZXL,模板制作WXR,素材制作ZQL,20260525,14618.35,78470.0,6603.0,16991.18,12,2.2138951991519007,0.1862922135848095,0.08414680769720913,1.1623185927276334,5981.9782081420735,-1137.4801583625353,Zikzik,2026-05-20~2026-06-07
Usgen,新选题,印地语,深情宝宝舞+宝宝+原,创意搜集LXQ,创意提需LXQ,模板制作LQX,素材制作LBJ,20260601,2559.73,25456.0,1748.0,5775.45,5,1.4643764302059497,0.10055507542426147,0.06866750471401634,2.2562731225558945,2965.5897885307313,1582.7643872662334,Zikzik,2026-05-20~2026-06-07
Usgen,新选题,印地语,跳飞嘿嘿舞+宝宝+原,创意搜集WXY,创意提需WXY,模板制作LQX,素材制作ZQL,20260513,13622.970000000001,49588.0,4964.0,10206.28,19,2.744353344077357,0.27472311849641046,0.10010486408001935,0.7491963940315511,1325.289333254962,-5357.331562786265,Zikzik,2026-05-20~2026-06-07
CoupleLens,新选题,印地语,ins粉丝数海报+meta测新+竞,创意搜集ZXL,创意提需ZXL,模板制作WXR,素材制作XY,20260604,635.37,8187.0,597.0,2205.39,3,1.0642713567839197,0.07760718211799193,0.07292048369366068,3.471032626658482,1323.1924748647525,673.3581267302902,Zikzik,2026-05-20~2026-06-07
Usgen,老选题,印地语,灵魂伴侣+日常服饰男模特+竞,创意搜集WYX,创意提需WYX,模板制作LQX,素材制作XY,20260520,16877.89,86291.0,5842.0,11187.24,18,2.889060253337898,0.19559270375821347,0.06770115075732115,0.6628340390890094,1301.3565299151785,-1687.4780870685686,Zikzik,2026-05-20~2026-06-07
CoupleLens,新选题,英语,家族托脸照+一家四口+竞,创意搜集LST,创意提需LST,模板制作WXR,素材制作WXX,20260525,5212.389999999999,34967.0,2077.0,4745.86,12,2.5095763119884444,0.14906597649212114,0.05939886178396774,0.9104959529121958,1284.9530339582316,845.8542509085861,Zikzik,2026-05-20~2026-06-07
Dradra,新选题,印地语,Q版人物+通用+原,创意搜集WYX,创意提需WYX,模板制作CF,素材制作LBJ,20260519,21301.37,115456.0,7175.0,13181.83,19,2.968832055749129,0.18449773073725054,0.06214488636363636,0.618825455827489,917.7310950683028,-1042.1425224024165,Zikzik,2026-05-20~2026-06-07
CoupleLens,新选题,印地语,恒河祝福+情侣+原,创意搜集LXQ,创意提需LXQ,模板制作LQX,素材制作ZXL,20260522,5968.28,43173.0,2167.0,4434.73,13,2.754167051222889,0.13824103027355059,0.05019340791698515,0.7430499239311829,768.354722001243,1485.7380325219729,Zikzik,2026-05-20~2026-06-07
CoupleLens,老选题,英语,男生King3号构图+2.26迭代少年模特+竞品选题+图片版双重曝光构图,创意搜集ZXL,创意提需ZXL,模板制作ZN,素材制作ZN,20260226,19353.46,128795.0,6542.0,12085.82,18,2.958339957199633,0.1502656159012384,0.05079389727862106,0.6244785170196957,702.0182815720111,2327.805004317797,Zikzik,2026-05-20~2026-06-07
