素材类型,素材语言,创意主题,创意搜集人,创意提需人,模板制作人,素材制作人,素材制作时间,spend,installs,subs,gross_after,days,cpa,cpi,sub_rate,roi,daily_aligned_cpa_saving,daily_aligned_cpi_saving,explain_share_of_net_saving,old_same_theme_best_package,old_same_theme_spend,old_same_theme_subs,old_same_theme_cpa,old_same_theme_cpi,old_same_theme_sub_rate,same_theme_cpa_gap_old_minus_new,same_theme_amount_at_new_subs
老选题,印地语,交叉舞步+小孩+原,创意搜集JYY,创意提需LST,模板制作WXR,素材制作ZQL,20260521,14114.75,93736.0,5191.0,10800.9,17,2.719081101907147,0.15057981991977468,0.05537893658786379,0.7652207796808304,2120.9963939584377,2196.7966282708276,0.22418574336511707,,,,,,,,
老选题,印地语,印度牛车+青少年模特+原,创意搜集LXQ,创意提需LST,模板制作LQX,素材制作ZJQ,20260514,13868.460000000001,102986.0,5065.0,10444.81,19,2.738096742349457,0.13466354650146622,0.0491814421377663,0.7531340898701081,1826.4713774901716,3933.32072324869,0.19305494562088693,,,,,,,,
新选题,印地语,黑色主题写真+情侣+原,创意搜集QCH,创意提需QCH,模板制作LQX,素材制作ZXL,20260526,5046.9,27611.0,2124.0,5129.63,12,2.3761299435028245,0.18278584622070912,0.07692586288073594,1.0163922407814698,1610.659137586311,-293.8790731680616,0.17024395566920575,,,,,,,,
老选题,英语,情侣传统服饰合影+高种姓情侣模特+竞,创意搜集ZXL,创意提需ZXL,模板制作WXR,素材制作LBJ,20260529,2831.38,10356.0,1230.0,3059.52,6,2.3019349593495937,0.27340478949401315,0.11877172653534183,1.0805755497319327,1040.1174509731052,-1118.4009418805497,0.10993866118661849,,,,,,,,
老选题,印地语,跳飞嘿嘿舞+时尚宝宝+原,创意搜集WXY,创意提需LST,模板制作LQX,素材制作WXX,20260520,6784.63,23762.0,2507.0,5247.62,18,2.706274431591544,0.28552436663580505,0.10550458715596331,0.7734570639813814,974.8901415615736,-2619.28759057603,0.10304424453896,,,,,,,,
老选题,英语,交叉舞步+通用+原,创意搜集ZXL,创意提需ZXL,模板制作WXR,素材制作WXX,20260515,8122.39,44611.0,2865.0,5637.26,19,2.835040139616056,0.18207146219542267,0.06422182869695815,0.6940395622470726,616.755525312611,-598.5209003463492,0.06519001932799157,CoupleLens,3927.02,1147.0,3.4237314734088926,0.15738928299466956,0.04597010139874153,0.5886913337928368,1686.6006713164775
新选题,印地语,男性特写合集+男+原,创意搜集LXQ,创意提需LXQ,模板制作CF,素材制作ZXL,20260603,942.2,6613.0,421.0,1073.44,4,2.2380047505938245,0.142476939361863,0.06366248298805384,1.1392910210146465,394.729851194396,130.22457024576195,0.04172227985416923,,,,,,,,
新选题,印地语,车站离别+双人+竞,创意搜集WYX,创意提需WYX,模板制作LQX,素材制作ZJQ,20260603,751.5,4368.0,342.0,885.5699999999999,4,2.1973684210526314,0.1720467032967033,0.0782967032967033,1.1784031936127743,357.6422074844825,-47.8104574113459,0.037802178434642494,,,,,,,,
新选题,印地语,雨夜模特灵魂伴侣+情侣+原,创意搜集QCH,创意提需QCH,模板制作LQX,素材制作ZQL,20260526,1516.18,6511.0,592.0,1322.97,10,2.561114864864865,0.23286438335125173,0.09092305329442482,0.872567900908863,339.2839268798649,-354.8738103591962,0.03586173912226323,,,,,,,,
新选题,印地语,帅气唱跳舞+通用+原,创意搜集LXQ,创意提需LXQ,模板制作WXX,素材制作LBJ,20260526,1325.26,4779.0,509.0,1116.36,10,2.6036542239685656,0.27730906047290227,0.1065076375810839,0.8423705537026696,275.589138455772,-507.29972115304986,0.02912930735952496,,,,,,,,
